place_id,city,title,rating,reviews,description,tips,address,timings,ticket_price,avg_ticket_price
1,cairo,Pyramids Of Giza,4.0,7224.0,"The most famous of the Seven Wonders of the Ancient World have held a deep say over the human imagination for almost two centuries. It also the oldest of those Seven Wonders and the best preserved of them. For almost four thousand years after its construction, the Great Pyramid was the tallest structure in the world. These pyramids are also regarded as the oldest of the Seven Wonders of the World. Ever since their discovery, the pyramids have confounded engineers and scientist as regards to how they were built, their astronomical alignment and the significance of their tombs.
The Pyramids of Giza are one of the seven wonders of the world and it is mandatory to visit them during your trip to Cairo. The best way to explore Adler Planetarium is by booking Pyramids of Giza tickets, well in advance. You can buy the Pyramids of Giza tickets from the ticket counter. Moreover, in order to explore this attraction in much detail, you can also book the Pyramids of Giza tour tickets. If you’re looking for a detailed tour, then you can anytime buy the Pyramids of Giza tour tickets and get some quick facts about the most famous wonder of the world. Also, visit the popular attractions in the city by following Cairo itinerary 4 days.","Avoid visiting Pyramids of Giza at night time.
Parking space available.
The tickets are limited so get there early in the morning. Its not uncommon for tickets to be sold out before 8:00 am.
Climbing the pyramids are prohibited.","Al Ahram, Al Haram, Giza, Egypt, Cairo",07:00 am - 07:00 pm,60.0,60.0
2,cairo,Keops Pyramid,,,"Take a historic walk through the ancient icons of Egypt. The Keops Pyramid that is about a thousand years old is gorgeous and incredible. The pyramid is of course huge on the outside and unbelievable on the inside. The mysterious monument, although to one end of the city, is completely worth a visit. While Egypt is known for its pyramids, you cannot leave the city without a visit here. Lying on the Giza plateau, the Keops is not the only Pyramid in the area. Explore all the pyramids if possible. Also, visit the popular attractions in the city by following Cairo itinerary 4 days.
Guided tours are available and recommended.
Do not make eye contact with the people around. They keep asking for money.
Bargain for absolutely everything.
Take extra care of your valuables.","Guided tours are available and recommended.
Do not make eye contact with the people around. They keep asking for money.
Bargain for absolutely everything.
Take extra care of your valuables.","Al Haram, Nazlet El-Semman, Al Haram, Giza Governorate, Egypt, Cairo",08:00 am - 05:00 pm,,40.0
3,cairo,Sphinx,4.0,6728.0,"The Terrifying One, as the Great Sphinx is known in Egypt, is built of limstone and has the head of a man with the face of a Pharaoh, a hawk or a ram with the body, and tail and legs of a lion. Modern Egyptology holds that the Sphinx was built in 2500BC by Khafra.There has been much controversy over the true age of the Sphinx, circling around the question whether the erosion of its structure is wind or water caused. If the water erosion hypothesis is true, then the Sphinx could be four thousand years older than originally thought.
Cairo, the land of Sphinx is undoubtedly a world’s wonder for more reasons than one. Being one of the most popular attractions, Sphinx Tickets B are always the talk of the town. If you are wondering the place to get Tickets for Sphinx check out our tickets section or better yet, our myriad tours! Buy tickets for Sphinx as prices, best in their class. Sphinx ticket prices were never this good! Also, visit the popular attractions in the city by following Cairo itinerary 4 days.","Confirm timings before visiting the Sphinx.
Parking area available.","Al Ahram, Giza, Egypt, Cairo",08:00 am - 05:00 pm,20.0,20.0
4,cairo,Islamic Cairo,4.0,2752.0,"Islamic Cairo is a historic area that was created and nurtured by the Muslims after conquering Egypt. The area is beautiful and the atmosphere here is nostalgic. The old woodwork, stonework, and ironwork are dominant in this part of Cairo helping Islamic Cairo subtly maintain its ancient beauty. There are plenty of mosques here that pour peace and tranquility out in the air. There are quite a few cafes and restaurants here too. Also, visit the popular attractions in the city by following Cairo itinerary 4 days.
Guided tours are available.",Guided tours are available.,"Al Gamaleyah, Qesm Gamaleyah, Cairo Governorate, Egypt",24-hrs,,40.0
5,cairo,The Egyptian Museum,4.0,5544.0,"This Egyptian museum is located at Tahrir square. This museum is peculiarly famous for huge and small statues, jewels, the mummies, Tutankhamon treasures, etc. It includes round about 107 halls which exhibit different antiques from the ancient Egypt culture. The museum also has a section specially dedicated for photography and even comprises of a huge library. Egyptian museum is overall divided into seven sections and you will surely need more than 2 hours to explore all these sections. History lovers would surely find all the ancient coins, papyrus, sarcophagi and scrabs, monuments of different periods very much interesting. There is a hall full of mummies and this is definitely an exciting experience. Along with Egyptians, millions of tourists visit this museum during their stay in Egypt.
Go back in time by visiting the historically significant attraction of Egyptian Museum by getting the tickets for Egyptian Museum under the section of Egyptian Museum tickets. While you are on the lookout to buy tickets for Egyptian Museum be sure to check out the Egyptian Museum tours ticket price for it comes with a guided tour attended by professional guides who will ensure Egyptian Museum ticket prices are made worth it to their fullest. Also, visit the popular attractions in the city by following Cairo itinerary 4 days.","Photography is strictly prohibited.
Cameras will be checked at the entrance only.
Canteen facilities available.
People looking out for guided tours contact the information desk of museum.
Services for disabled personssuch as wheel chair and elevator are also available upon request.","Tahrir Square, Meret Basha, Ismailia, Qasr an Nile, Cairo Governorate 11516, Egypt",09:00 am - 07:00 pm,75.0,75.0
6,cairo,The Serapeum Of Saqqara,,,"A serapeum is a temple dedicated to the god Serapis, a combined avatar of Osiris and Apis. Not much is known about this specific serapeum. The construction of this place was dedicated to the sacred bulls of Apis, who they believed were the incarnation of Ptah, the Memphis god. Some eight million dogs are buried here. The serapeum has held a mystic hold over the imaginations of archeologists a long time before it was found.
Storied would filter through to the academia of it’s presence, perhaps a glimpse of a subterranean cavern, a stumbling upon a strange passageway, which was lost again under the sands. For a long time, the site was closed to the public, with officials citing safety hazards. After three decades of intense debates as to the nature of the restoration of the serapeum, reconstruction work started in 2001, taking 10 years to complete and the tomb is now finally open to the public.  Also, visit the popular attractions in the city by following Cairo itinerary 4 days.","Availability for parking place is doubtful.
Avoid visiting Serapeum after sunset.","Serapeum, (Pyramid of Djoser Rd), Saqqara, Cairo, Egypt",24-hrs,,40.0
7,cairo,Mohamed Ali Mosque,4.0,2254.0,"Commonly known as Alabaster Mosque, Mohamed Ali Mosque is a holy shrine located in the Citadel in Cairo. This mosque was the largest such structure built during initial years of the 19th century. The interiors of the mosque are indeed impressive. As the mosque is located atop a hill you can enjoy breathtaking views of the pyramid here as well. The architecture of the Mohamed Ali Mosque is somewhat similar to the Blue mosque in Istanbul. Also, visit the popular attractions in the city by following Cairo itinerary 4 days.
Citadel: 40 EGP",Citadel: 40 EGP,"Cairo Governorate, Egypt",08:00 am - 05:00 pm,,40.0
8,cairo,The Pyramids At Dahshur,4.0,2090.0,"The royal necropolis at Dashur is notable for several of the oldest and best preserved pyramids of Egypt, most prominent of which are the Red Pyramid and the Bent Pyramid. The Red Pyramid, which is the only smooth sided pyramid in the world, is the only one accessible to the public.
The Bent Pyramid here is unique in having two separate entrances. The good condition of these pyramids is owed to the hot dry air of the area. Currently the site is under threat of desecration from the unmonitored locals who have moved back into the security vacuum here created by the 2011 Egyption revolution. Also, visit the popular attractions in the city by following Cairo itinerary 4 days.","Adult: EGP 60
Kids: EGP 30
Parking: EGP 5","Monshaat Dahshour, Al Badrashin, Giza, Egypt, Cairo",08:00 am - 04:00 pm,60.0,60.0
9,cairo,Step Pyramid Of Zoser,4.0,2726.0,"The pyramid was built by one of Ancient Egypts most prominent personalities, Vizier Imhotep. It comprises of a series of mastabas (flat-roofed structure with sloping sides), built on top of each other. There are over five kilometers worth of tunnels under the pyramid, built to discourage looting.
Nevertheless, the Pyramid has been well and thoroughly plundered over the years, leaving only the mummified left foot of Djoser. The Step Pyramid of Zoser is unfortunately closed for visitors, but you can surely have a good view of the pyramid from outside and can click hundreds of pictures right in front of it. Also, visit the popular attractions in the city by following Cairo itinerary 4 days.",You will require a personal vehicle or a tour package to access the site.,"Saqqara, Cairo, Egypt.",08:00 am - 05:00 pm,,40.0
10,cairo,Old City,,,"The old city in Cairo is a true historic dig. The area has spectacular monuments, old churches, mosques, and synagogues. The old city is pretty unique and quite different from the rest of Cairo. There are a total of 7 churches in the area. The religious shines including the mosques and synagogues contribute largely to the peace in the area. If you want to witness the charm of Cairo in an exceptionally different way, the old City is quite a recommended visit. Also, visit the popular attractions in the city by following Cairo itinerary 4 days.
Guided tours are available.",Guided tours are available.,"Coptic, Cario, Egypt, Cairo",24-hrs,,40.0
