Hotel Name,Price,Review Score (/10),Hotel URL,Description,Latitude,Longitude,Distance (km)
Regant pyramids hotel,97,10.0,https://www.booking.com/hotel/eg/regant-pyramids.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoZD-zwbAAgHSAiQxYjE2MzgzYS1lNDI1LTQwYzQtOGMwNi0zODlkMTY2ODYzZGLYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=df5e879035ad0886&srepoch=1778354215&all_sr_blocks=1632825001_433769000_2_1_0&highlighted_blocks=1632825001_433769000_2_1_0&matching_block_id=1632825001_433769000_2_1_0&sr_pri_blocks=1632825001_433769000_2_1_0__9735&from=searchresults,"Comfortable Accommodations: Rooms feature air-conditioning, private bathrooms, balconies with mountain views, and modern amenities. Family rooms and interconnected rooms cater to all guests.

Exceptional Facilities: Guests enjoy a hot spring bath, spa and wellness center, open-air bath, and a terrace. Additional facilities include a garden, outdoor fireplace, and free WiFi throughout the property.

Dining Experience: The family-friendly restaurant offers African, American, Argentinian, and other cuisines in a traditional, modern, or romantic ambiance. Breakfast options include American, buffet, Italian, and vegetarian.

Prime Location: Located in Cairo, the hotel is 1.1 mi from the Great Sphinx and 19 mi from Sphinx International Airport. Nearby attractions include the Giza Pyramids and the Egyptian Museum.",29.9782400870019,31.1462738451023,11.32
Hilton Cairo Grand Nile,510,8.0,https://www.booking.com/hotel/eg/grand-nile-tower.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoZD-zwbAAgHSAiQxYjE2MzgzYS1lNDI1LTQwYzQtOGMwNi0zODlkMTY2ODYzZGLYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=df5e879035ad0886&srepoch=1778354215&all_sr_blocks=34835839_404461051_2_2_0&highlighted_blocks=34835839_404461051_2_2_0&matching_block_id=34835839_404461051_2_2_0&sr_pri_blocks=34835839_404461051_2_2_0__51000&from_sustainable_property_sr=1&from=searchresults,"Luxurious rooms and suites offer views across the River Nile at Hiton Cairo Grand Nile. The wellness center also overlooks the Nile and the hotel features 7 restaurants and an outdoor pool.

The elegantly decorated rooms and suites at Hiton Cairo Grand Nile come with a work desk, satellite TV and mini-bar. Each offers a modern bathroom stocked with amenities and a hairdryer.

Guests can enjoy views of the Nile from the revolving restaurant, which serves International dishes. Japanese, Indian and Italian cuisine are also available, and live entertainment is organized regularly on the hotel’s private yacht.

Guests can work out in the gym or enjoy a warm hot-tub session. It is also possible to relax on the waterfront terrace or to visit the hotel’s Galleria shopping and entertainment center. The property offers a supervised kid's club offering activities for children.

Cairo International Airport is 12 mi from the property. The Egyptian Museum is a 15-minute walk away. | Couples in particular like the location – they rated it 9.0 for a two-person trip. | Distance in property description is calculated using © OpenStreetMap | We have an instant answer to most questions | Children of all ages are welcome. | Children 18 and above will be charged as adults at this property.",30.033832659772507,31.227006912231445,1.44
Ramses Hilton Hotel & Casino,N/A,8.5,https://www.booking.com/hotel/eg/ramses-hilton.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoZD-zwbAAgHSAiQxYjE2MzgzYS1lNDI1LTQwYzQtOGMwNi0zODlkMTY2ODYzZGLYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=df5e879035ad0886&srepoch=1778354215&all_sr_blocks=4786409_274559468_2_42_0&highlighted_blocks=4786409_274559468_2_42_0&matching_block_id=4786409_274559468_2_42_0&sr_pri_blocks=4786409_274559468_2_42_0__50575&from_sustainable_property_sr=1&from=searchresults,"Overlooking the Nile River and just a 5-minute walk from the Cairo Museum, the Ramses Hilton features an elevated pool terrace heated in the winter, an on-site casino and gym. Guest rooms feature balconies offering Nile or panoramic city views.

All air-conditioned rooms are spacious and feature warm decoration. They come furnished with sofa and chairs and a work desk. There is also satellite flat-screen TV, a safe box and an alarm clock. Some rooms also feature panoramic views of the Nile River.

An array of international cuisines along with evening entertainment are available for guests at Ramses Hilton to enjoy. Ranging from Mediterranean specialties to traditional English cuisine at the Sherlock Holmes Pub. Namaste Indian Restaurant offers a delicious authentic Indian cuisine. An oriental café, Garden Court operates daily with live evening entertainment. And OPIA Lounge and Bar features panoramic views.

Cairo International Airport is 15 miles away and an airport transfer to the hotel is available (at a charge). | Couples in particular like the location – they rated it 9.0 for a two-person trip. | Distance in property description is calculated using © OpenStreetMap | Children of all ages are welcome. | Children 18 and above will be charged as adults at this property. | To see correct prices and occupancy info, add the number and ages of children in your group to your search.",30.05016474580847,31.232006549835205,0.73
,N/A,N/A,https://www.booking.com/hotel/eg/royal-crown-pyramids-view.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoZD-zwbAAgHSAiQxYjE2MzgzYS1lNDI1LTQwYzQtOGMwNi0zODlkMTY2ODYzZGLYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=df5e879035ad0886&srepoch=1778354215&all_sr_blocks=1608707701_431778338_2_41_0&highlighted_blocks=1608707701_431778338_2_41_0&matching_block_id=1608707701_431778338_2_41_0&sr_pri_blocks=1608707701_431778338_2_41_0__7500&from=searchresults,"Comfortable Accommodations: Royal Crown Pyramids View in Cairo offers family rooms with air-conditioning, private bathrooms, and modern amenities. Each room includes a tea and coffee maker, mini-bar, and free WiFi.

Dining Experience: The hotel features a spa and wellness center, terrace, restaurant, and bar. Guests can enjoy continental, American, full English/Irish, halal, and Asian breakfasts with local specialties, fresh pastries, and fruits.

Convenient Location: Located 19 mi from Sphinx International Airport, the hotel is a short walk from the Great Sphinx and 1.1 mi from the Giza Pyramids. Nearby attractions include the Grand Egyptian Museum and Cairo Tower.",29.9778487519247,31.1437432053174,11.54
,N/A,N/A,https://www.booking.com/hotel/eg/pyramids-new-locanda.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoZD-zwbAAgHSAiQxYjE2MzgzYS1lNDI1LTQwYzQtOGMwNi0zODlkMTY2ODYzZGLYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=df5e879035ad0886&srepoch=1778354215&all_sr_blocks=1606397805_431577341_2_41_0&highlighted_blocks=1606397805_431577341_2_41_0&matching_block_id=1606397805_431577341_2_41_0&sr_pri_blocks=1606397805_431577341_2_41_0__6750&from=searchresults,"Comfortable Accommodations: Pyramids New Locanda Hotel in Cairo offers family rooms with air-conditioning, private bathrooms, and modern amenities. Each room includes a balcony with city or mountain views, ensuring a pleasant stay.

Dining and Leisure: Guests can enjoy a spa and wellness center, a lush garden, and a family-friendly restaurant serving Italian and pizza cuisines. The hotel also features a bar, a 24-hour front desk, and free WiFi throughout the property.

Prime Location: Located 1.6 mi from the Giza Pyramids and 19 mi from Sphinx International Airport, the hotel is a short walk from the Great Sphinx and close to attractions such as the Grand Egyptian Museum and Cairo Tower.",29.9775997925322,31.1447057216221,11.48
,N/A,N/A,https://www.booking.com/hotel/eg/kemet-pyramids-view.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoZD-zwbAAgHSAiQxYjE2MzgzYS1lNDI1LTQwYzQtOGMwNi0zODlkMTY2ODYzZGLYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=df5e879035ad0886&srepoch=1778354215&all_sr_blocks=1514489603_423177277_0_41_0&highlighted_blocks=1514489603_423177277_0_41_0&matching_block_id=1514489603_423177277_0_41_0&sr_pri_blocks=1514489603_423177277_0_41_0__35397&from=searchresults,"Elegant Accommodations: Kemet Pyramids View Hotel in Cairo offers a 4-star experience with a rooftop swimming pool, spa and wellness center, fitness center, sun terrace, open-air bath, restaurant, bar, and free WiFi.

Comfortable Amenities: Guests enjoy private check-in and check-out, a 24-hour front desk, concierge service, and a lounge. Additional facilities include a hot tub, yoga classes, fitness center, and outdoor fireplace.

Dining Options: The modern restaurant serves Mediterranean, Middle Eastern, pizza, seafood, international, and barbecue grill cuisines. Breakfast includes local specialties, fresh pastries, cheese, and fruits.

Prime Location: Located 1.7 mi from Giza Pyramids and 19 mi from Sphinx International Airport, the hotel is a 13-minute walk from the Great Sphinx and near attractions such as the Grand Egyptian Museum and Cairo Tower.",29.9750488501469,31.1449738510641,11.65
,N/A,N/A,https://www.booking.com/hotel/eg/owest-pyramids-view.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoZD-zwbAAgHSAiQxYjE2MzgzYS1lNDI1LTQwYzQtOGMwNi0zODlkMTY2ODYzZGLYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=df5e879035ad0886&srepoch=1778354215&all_sr_blocks=1570011703_428090124_2_41_0&highlighted_blocks=1570011703_428090124_2_41_0&matching_block_id=1570011703_428090124_2_41_0&sr_pri_blocks=1570011703_428090124_2_41_0__12000&from=searchresults,"Elegant Accommodations: OWest Pyramids View Hotel in Cairo offers a 5-star experience with a terrace, restaurant, bar, and free WiFi. Family rooms and a 24-hour front desk ensure comfort and convenience.

Dining Options: Guests can enjoy a variety of breakfast options, including continental, American, buffet, and full English/Irish. The family-friendly restaurant serves European, barbecue grill, and pizza cuisines in traditional and modern settings.

Prime Location: Located 8 minutes from the Great Sphinx and 1.1 mi from the Giza Pyramids, the hotel is 19 mi from Sphinx International Airport. Nearby attractions include the Grand Egyptian Museum and Cairo Tower.",29.9765295886451,31.1435602782728,11.65
,N/A,N/A,https://www.booking.com/hotel/eg/horizon-pyramids-boutique.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoZD-zwbAAgHSAiQxYjE2MzgzYS1lNDI1LTQwYzQtOGMwNi0zODlkMTY2ODYzZGLYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=df5e879035ad0886&srepoch=1778354215&all_sr_blocks=1575452101_431856729_2_41_0&highlighted_blocks=1575452101_431856729_2_41_0&matching_block_id=1575452101_431856729_2_41_0&sr_pri_blocks=1575452101_431856729_2_41_0__11250&from=searchresults,"Comfortable Accommodations: Horizon Pyramids Boutique in Cairo offers family rooms with private bathrooms, balconies, and modern amenities. Each room includes air-conditioning, free WiFi, and a work desk.

Dining and Leisure: The hotel features a restaurant serving a variety of cuisines, including African, Italian, and Indian. Guests can relax at the bar or enjoy the sun terrace and outdoor fireplace.

Convenient Location: Located 1.1 mi from the Giza Pyramids and 18 mi from Sphinx International Airport, the hotel provides easy access to key attractions. Nearby points include the Great Sphinx and Cairo Tower.",29.987988763004,31.144255022563,10.81
,N/A,N/A,https://www.booking.com/hotel/eg/secrets-of-the-pyramids.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoZD-zwbAAgHSAiQxYjE2MzgzYS1lNDI1LTQwYzQtOGMwNi0zODlkMTY2ODYzZGLYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=df5e879035ad0886&srepoch=1778354215&all_sr_blocks=1480266702_419509185_0_42_0&highlighted_blocks=1480266702_419509185_0_42_0&matching_block_id=1480266702_419509185_0_42_0&sr_pri_blocks=1480266702_419509185_0_42_0__13500&from=searchresults,"Comfortable Accommodations: Secrets Of The Pyramids Hotel in Cairo offers family rooms with air-conditioning, private bathrooms, and garden or city views. Each room includes a work desk, TV, and free WiFi.

Dining and Leisure: Guests can enjoy a sun terrace, garden, restaurant, and bar. The family-friendly restaurant serves African, Catalan, and Italian cuisines, while the bar offers cocktails. Additional amenities include an outdoor fireplace, waterpark, and indoor play area.

Convenient Location: Located 19 mi from Sphinx International Airport, the hotel is an 8-minute walk from the Great Sphinx and 1 mi from the Giza Pyramids. Nearby attractions include Cairo Tower and The Egyptian Museum.",29.9774363818963,31.1406762833987,11.8
,N/A,N/A,https://www.booking.com/hotel/eg/maravilla-cairo-qasr-el-nil1.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoZD-zwbAAgHSAiQxYjE2MzgzYS1lNDI1LTQwYzQtOGMwNi0zODlkMTY2ODYzZGLYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=df5e879035ad0886&srepoch=1778354215&all_sr_blocks=1515819805_423291433_2_2_0_1332210&highlighted_blocks=1515819805_423291433_2_2_0_1332210&matching_block_id=1515819805_423291433_2_2_0_1332210&sr_pri_blocks=1515819805_423291433_2_2_0_1332210_10710&from=searchresults,"Comfortable Accommodations: Located in Cairo, the Cairo S Hotel offers comfortable family rooms with air-conditioning, private bathrooms, and city views. Each room includes a dining table, work desk, and free WiFi.

Exceptional Facilities: Guests can relax on the terrace or enjoy the outdoor seating area. The hotel provides free WiFi, a lounge, and a coffee shop. Additional amenities include a shared kitchen, daily housekeeping, and a tour desk.

Dining Options: Breakfast options include American, vegetarian, vegan, halal, and gluten-free. The on-site restaurant offers a variety of meals to suit all dietary needs.

Prime Location: Located less than 0.6 mi from Tahrir Square and a 13-minute walk to The Egyptian Museum, the hotel is close to key attractions. Cairo International Airport is 9.9 mi away.",30.0495603447111,31.241064170573,0.77
