hotel_id,city,hotel_name,price,review_score,hotel_url,description,latitude,longitude,distance_km
1,alexandria,Tolip Hotel Alexandria,465.0,8.2,https://www.booking.com/hotel/eg/royal-tulip-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK0wLLQBsACAdICJDQ0NjNjZTc0LTZhYjktNDFkNS1iNzhhLTY3ZTkwMDYwM2Q5ONgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=02127c1a20931315&srepoch=1779212347&all_sr_blocks=78883104_433176129_2_33_0_131741&highlighted_blocks=78883104_433176129_2_33_0_131741&matching_block_id=78883104_433176129_2_33_0_131741&sr_pri_blocks=78883104_433176129_2_33_0_131741_46463&from=searchresults,"This 5-star hotel in Alexandria offers an outdoor pool, a spa and a gym. It features modern accommodations with views of the sea or city. Free Wi-Fi is available in public areas.

Air-conditioned rooms are equipped with a mini-bar and flat-screen satellite TV. Each suite comes with a living room and a dining table. Featuring a bathtub and shower, private bathrooms are stocked with free toiletries. All rooms have a balcony.

Guests can choose to dine at any of the hotel’s 9 dining outlets, which serve a variety of cuisine ranging from local to international. The pool bars are an ideal place for relaxation.

The hotel is 1312 feet from Al-Salam Theater and Stanley Bridge, and is 0.9 mi from Sidi Gaber Railway Station. Borg el Arab International Airport is 26 mi away. The property offers parking at an extra cost. | Couples in particular like the location – they rated it 9.1 for a two-person trip. | Distance in property description is calculated using © OpenStreetMap | We have an instant answer to most questions | Children of all ages are welcome. | Children 12 and above will be charged as adults at this property.",31.231793499770284,29.94602680206299,180.59
2,alexandria,grey l studio apartments Corniche Alexandria,155.0,8.6,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK0wLLQBsACAdICJDQ0NjNjZTc0LTZhYjktNDFkNS1iNzhhLTY3ZTkwMDYwM2Q5ONgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=02127c1a20931315&srepoch=1779212347&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__15480&from=searchresults,"Comfortable Accommodations: Gray L Studio Apartments Corniche Alexandria in Alexandria offers spacious apartments with terraces. Each unit features air-conditioning, a private bathroom with a walk-in shower, and a fully equipped kitchenette.

Convenient Facilities: Guests benefit from a elevator, 24-hour front desk, daily housekeeping service, family rooms, and full-day security. Additional amenities include a balcony, sofa bed, and soundproofing.

Prime Location: Located 30 mi from Borg el Arab International Airport, the apartment is near Shatibi Beach (1.1 mi), Alexandrina Library (14-minute walk), and Alexandria Stadium (1.2 mi). Nearby attractions include the Graeco-Roman Museum and Alexandria Zoo.

Guest Satisfaction: Highly rated for room cleanliness, convenient location, and room comfort.",31.202373,29.9014809,181.23
3,alexandria,Palestine Montaza Alexandria,535.0,8.5,https://www.booking.com/hotel/eg/helnan-palestine.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK0wLLQBsACAdICJDQ0NjNjZTc0LTZhYjktNDFkNS1iNzhhLTY3ZTkwMDYwM2Q5ONgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=02127c1a20931315&srepoch=1779212347&all_sr_blocks=1614822_199737183_2_1_0&highlighted_blocks=1614822_199737183_2_1_0&matching_block_id=1614822_199737183_2_1_0&sr_pri_blocks=1614822_199737183_2_1_0__53500&from=searchresults,"Set on 350 acres of lush gardens overlooking a Mediterranean cove, Palestine Montaza Alexandria features an outdoor pool and private seafront sun terrace. All rooms have free internet access and balconies with sea views.

All the rooms of the Helnan Palestine are spacious and offer luxurious furnishings. They feature oriental carpeting, hot drink facility and a satellite TV. Some rooms look out on the historic Montaza Palace.

Guests can simply enjoy a lazy afternoon. The swimming pool provides refreshment on hot days.

Palestine Montaza Alexandria’s restaurants and bar offer a wide range of food and beverages, both indoors and outdoors.

The Helnan’s quiet, secluded location is only 7.5 mi from the bustle of Alexandria city center and just steps away from the sandy beach. | Couples in particular like the location – they rated it 9.4 for a two-person trip. | Distance in property description is calculated using © OpenStreetMap | We have an instant answer to most questions | Children of all ages are welcome. | Children 6 and above will be charged as adults at this property.",31.287894050021936,30.017722249031067,180.63
4,alexandria,Rixos Montaza Alexandria,764.0,9.2,https://www.booking.com/hotel/eg/rixos-montaza-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK0wLLQBsACAdICJDQ0NjNjZTc0LTZhYjktNDFkNS1iNzhhLTY3ZTkwMDYwM2Q5ONgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=02127c1a20931315&srepoch=1779212347&all_sr_blocks=1323631805_405027592_2_1_0&highlighted_blocks=1323631805_405027592_2_1_0&matching_block_id=1323631805_405027592_2_1_0&sr_pri_blocks=1323631805_405027592_2_1_0__76400&from=searchresults,"Prime Location: Rixos Montaza Alexandria in Alexandria offers a convenient location with Montazah Aida Beach a 9-minute walk away. Nearby attractions include Sidi Gaber Railway Station (6.8 mi) and Alexandria Zoo (8.1 mi). Borg el Arab International Airport is 39 mi from the hotel.

Exceptional Facilities: Guests enjoy a private beach area, beachfront, spa facilities, sauna, fitness center, garden, restaurant, bar, seasonal outdoor swimming pool, and indoor swimming pool. Free WiFi is available throughout the property.

Comfortable Accommodations: Rooms feature air-conditioning, bathrobes, mini-bar, balcony with sea views, and soundproofing. Additional amenities include a private pool, tea and coffee maker, and dining area.

Dining Experience: The family-friendly restaurant serves international cuisine with halal options for lunch and dinner. Dining areas include traditional, modern, and romantic settings.",31.288405,30.015993,180.78
5,alexandria,Alex inn Rooms,68.0,6.7,https://www.booking.com/hotel/eg/alex-inn-rooms.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK0wLLQBsACAdICJDQ0NjNjZTc0LTZhYjktNDFkNS1iNzhhLTY3ZTkwMDYwM2Q5ONgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=02127c1a20931315&srepoch=1779212347&all_sr_blocks=1538799706_425308278_0_0_0&highlighted_blocks=1538799706_425308278_0_0_0&matching_block_id=1538799706_425308278_0_0_0&sr_pri_blocks=1538799706_425308278_0_0_0__6800&from=searchresults,"Comfortable Accommodations: Alex inn Rooms in Alexandria offers a hostel experience with free WiFi, air-conditioning, and private bathrooms with showers. Each room includes a balcony, bath, and electric kettle, ensuring a pleasant stay.

Convenient Facilities: Guests benefit from a 24-hour front desk and reception staff who speak Arabic and English. Additional amenities include a 3-minute walk to Al Ibrahimiyyah Beach, 1.1 mi to Alexandria Sporting Club, and 1.1 mi to Alexandrina Library.

Local Attractions: Nearby points of interest include the Graeco-Roman Museum of Alexandria (1.9 mi), Alexandria Zoo (2.5 mi), and Borg el Arab International Airport (29 mi). Sidi Gaber Railway Station is 1.4 mi away, providing easy access to the city.",,,
6,alexandria,ابراج المنتزه,150.0,7.4,https://www.booking.com/hotel/eg/brj-lmntzh-wl-lmntzh.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK0wLLQBsACAdICJDQ0NjNjZTc0LTZhYjktNDFkNS1iNzhhLTY3ZTkwMDYwM2Q5ONgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=02127c1a20931315&srepoch=1779212347&all_sr_blocks=1565663301_427807349_4_0_0&highlighted_blocks=1565663301_427807349_4_0_0&matching_block_id=1565663301_427807349_4_0_0&sr_pri_blocks=1565663301_427807349_4_0_0__15000&from=searchresults,"Spacious Apartment in Alexandria: ابراج المنتزه offers a spacious apartment in Alexandria, Egypt. The property features one bedroom, one bathroom, and a comfortable living room.

Modern Amenities: Guests enjoy free WiFi in public areas, air-conditioning, a terrace, balcony, washing machine, fully equipped kitchen, and TV.

Convenient Location: Located 34 mi from Borg el Arab International Airport, the apartment is a 5-minute walk from Miami Beach. Nearby attractions include Sidi Gaber Railway Station (5 mi), Alexandria Zoo (6.2 mi), and the Graeco-Roman Museum (7.5 mi).",31.2686271,29.9919935,180.63
7,alexandria,Sheraton Montazah Hotel,430.0,8.3,https://www.booking.com/hotel/eg/sheraton-montazah.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK0wLLQBsACAdICJDQ0NjNjZTc0LTZhYjktNDFkNS1iNzhhLTY3ZTkwMDYwM2Q5ONgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=02127c1a20931315&srepoch=1779212347&all_sr_blocks=1607455_95140726_0_34_0&highlighted_blocks=1607455_95140726_0_34_0&matching_block_id=1607455_95140726_0_34_0&sr_pri_blocks=1607455_95140726_0_34_0__43010&from=searchresults,"Sheraton Montazah features a well-equipped gym and free-form pool offering panoramic sea views. Located a 10 minute walk from El Mandara Train station, its rooms have a private balcony.

Hotel Sheraton Montazah’s rooms have glass sliding doors opening onto a balcony, most of which boast scenic ocean views. Each air conditioned room has a comfortable armchair and cable TV in the sitting area.

Coquillage Café is open throughout the day and serves international dishes in a stylish-casual setting. Café Rendez vous features pastries and cake as well as savory snacks.

The hotels’ attentive staff can recommend nearby restaurants and attractions and also organize car rentals. The 24-hour front desk can arrange guest laundry and in-room meals.

Hotel Sheraton Montazah is less than half a mile from El Mandara Train station. Alexandria Nozha International Airport is 9 miles away. | Couples in particular like the location – they rated it 8.9 for a two-person trip. | Distance in property description is calculated using © OpenStreetMap | We have an instant answer to most questions | Children of all ages are welcome. | Children 12 and above will be charged as adults at this property.",31.281661538359632,30.01127153635025,180.51
8,alexandria,Cleopatra Family Residents مصريين فقط,104.0,6.1,https://www.booking.com/hotel/eg/royal-crown-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK0wLLQBsACAdICJDQ0NjNjZTc0LTZhYjktNDFkNS1iNzhhLTY3ZTkwMDYwM2Q5ONgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=02127c1a20931315&srepoch=1779212347&all_sr_blocks=177327201_295820558_2_0_0&highlighted_blocks=177327201_295820558_2_0_0&matching_block_id=177327201_295820558_2_0_0&sr_pri_blocks=177327201_295820558_2_0_0__10350&from=searchresults,"Comfortable Accommodations: Cleopatra Family Residents مصريين فقط in Alexandria offers family rooms with sea views, air-conditioning, private bathrooms, walk-in showers, and free WiFi. Each room includes a refrigerator, work desk, seating area, free toiletries, mini-bar, TV, and tiled floors.

Convenient Facilities: Guests benefit from a elevator, 24-hour front desk, daily housekeeping service, room service, luggage storage, and full-day security. The hotel provides free toiletries, a mini-bar, and a TV in each room.

Prime Location: Cleopatra Beach is a 2-minute walk away, Sidi Gaber Railway Station 1 mi, and Alexandria Sporting Club 16-minute walk. Borg el Arab International Airport is 32 mi from the property. Guests appreciate the scenic views and convenient location.",31.22431411866049,29.935327470302585,180.69
9,alexandria,Ritz hotel,250.0,6.9,https://www.booking.com/hotel/eg/ritz.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK0wLLQBsACAdICJDQ0NjNjZTc0LTZhYjktNDFkNS1iNzhhLTY3ZTkwMDYwM2Q5ONgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=02127c1a20931315&srepoch=1779212347&all_sr_blocks=1448043805_417060406_2_1_0&highlighted_blocks=1448043805_417060406_2_1_0&matching_block_id=1448043805_417060406_2_1_0&sr_pri_blocks=1448043805_417060406_2_1_0__25000&from=searchresults,"Prime Location: Ritz hotel in Alexandria offers beachfront access with Shatibi Beach just yards away. Nearby attractions include Alexandrina Library (less than 0.6 mi) and the Graeco-Roman Museum of Alexandria (1.2 mi). Borg el Arab International Airport is 30 mi from the property.

Exceptional Facilities: Guests enjoy a restaurant, bar, and free WiFi. Additional amenities include a minimarket, coffee shop, hairdresser, and full-day security. Free on-site parking is available.

Comfortable Accommodations: Rooms feature sea views, air-conditioning, private bathrooms with walk-in showers, and modern amenities such as mini-bars and flat-screen TVs.

Dining Options: Breakfast is available as continental or American. The hotel also offers an outdoor dining area and a variety of dining options.",31.2113639583394,29.9149684480171,181.02
10,alexandria,Royal jewel Al-Raml Hotel,400.0,8.0,https://www.booking.com/hotel/eg/royal-jewel-al-raml-tn-lrml.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK0wLLQBsACAdICJDQ0NjNjZTc0LTZhYjktNDFkNS1iNzhhLTY3ZTkwMDYwM2Q5ONgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=02127c1a20931315&srepoch=1779212348&all_sr_blocks=1589544407_431821946_2_1_0&highlighted_blocks=1589544407_431821946_2_1_0&matching_block_id=1589544407_431821946_2_1_0&sr_pri_blocks=1589544407_431821946_2_1_0__40000&from=searchresults,"Comfortable Accommodations: Royal Jewel Al-Raml Hotel in Alexandria offers family rooms with sea, garden, or city views. Each room includes air-conditioning, a private bathroom, and modern amenities.

Exceptional Facilities: Guests can enjoy a fitness center, sun terrace, and lush garden. The hotel features a restaurant serving halal meals in a modern, family-friendly setting. Free WiFi is available throughout the property.

Convenient Location: Located 1.1 mi from Shatibi Beach and near attractions such as the Alexandrina Library and Alexandria Stadium. The Borg El Arab International Airport is 29 mi away. A supermarket is located in the surroundings.",31.2024532,29.9032615,181.11
